BES,BESIDE THE GYM-ART ROOM
BOO,BOOKSTORE
CAN,CANTEEN
CLA,CLASSROOM
COR,CORRIDOR-HALLWAY
ENG,ENGINEERING DEPARTMENT
FOO,FOOTBALL FIELD
GYM,GYM
KUB,KUBO
OPE,OPEN COURT
RAM,RAMP
SAN,SANCTUARY
STA,STAIRS
WAT,WAITING AREA
WOO,WOOD ESTATE VILLAGE
MPH,MPH-WAITING AREA
MPP,MPH3
COM,COMPUTER ROOM
OUT,OUTSIDE SCHOOL
HOM,HOME
CLI,CLINIC
SCH,SCHOOL SERVICE
LOC,LOCKER
MP,MPH2
GAW,GAWAD KALINGA
LUN,LUNETA
MMM,MPH1
ITL,IT LAB 1
GGG,GUIDANCE DEPT.
PRO,PRO
SCI,SCIENCE LAB
G2,GATE 2B
PRE,PRE-SCHOOL AREA
CR,COMFORT ROOM
AAA,NEAR GUIDANCE DEPT.
HHH,H.E. ROOM
LLL,LRC
MMC,MMC1
LIP,LIPA MEDIX MEDICAL CENTER
LLQ,LOBBY
CAM,CAMP-IN
EXT,EXTENDED CANTEEN
WWW,NEW BUILDING
HHO,HALLWAY
GY2,GYM 2
MAS,MAIN STAIRS
